filename,decoder,samplerate (kHz),samplewidth (bit),n channels,n samples
/root/sim/music//901~1000/907_まんぷくオオカミ.mp3,ffmpeg,44100,16,2,7044480
/root/sim/music//901~1000/960_幽玄の刻.mp3,ffmpeg,44100,16,2,5945472
/root/sim/music//901~1000/978_Orange_Highway.mp3,ffmpeg,44100,16,2,4658688
/root/sim/music//901~1000/982_ピクニックロード.mp3,ffmpeg,44100,16,2,4840704
/root/sim/music//901~1000/983_ホットココア.mp3,ffmpeg,44100,16,2,918750
/root/sim/music//901~1000/901_Hello_Good-by.mp3,ffmpeg,44100,16,2,6948709
/root/sim/music//901~1000/908_Surface_of_the_Water.mp3,ffmpeg,44100,16,2,7761600
/root/sim/music//901~1000/945_欠けた人形の踊り.mp3,ffmpeg,44100,16,2,6308352
"/root/sim/music//901~1000/931_So-so,Alright,Raindrop.mp3",ffmpeg,44100,16,2,9820474
/root/sim/music//901~1000/922_Bottom_Down.mp3,ffmpeg,44100,16,2,4235904
/root/sim/music//901~1000/977_Cosmic_Story.mp3,ffmpeg,44100,16,2,7408800
/root/sim/music//901~1000/928_工作タイム.mp3,ffmpeg,44100,16,2,4070016
/root/sim/music//901~1000/911_Starry_Sky.mp3,ffmpeg,44100,16,2,4942080
/root/sim/music//901~1000/990_クラヤミ廊下.mp3,ffmpeg,44100,16,2,6788736
/root/sim/music//901~1000/964_駆け抜ける坂道.mp3,ffmpeg,44100,16,2,4671407
/root/sim/music//901~1000/919_放課後の空.mp3,ffmpeg,44100,16,2,6069076
/root/sim/music//901~1000/936_輝く季節に.mp3,ffmpeg,44100,16,2,7541198
/root/sim/music//901~1000/981_Days_of_Yore.mp3,ffmpeg,44100,16,2,9549654
/root/sim/music//901~1000/963_Punks_Calling.mp3,ffmpeg,44100,16,2,3467527
/root/sim/music//901~1000/976_老人とまんざらでもない猫のポルカ.mp3,ffmpeg,44100,16,2,3345408
/root/sim/music//901~1000/970_雨のさんぽみち.mp3,ffmpeg,44100,16,2,8286336
/root/sim/music//901~1000/950_Pleasant_Happening.mp3,ffmpeg,44100,16,2,6820800
/root/sim/music//901~1000/949_ほがらかな日.mp3,ffmpeg,44100,16,2,7503021
/root/sim/music//901~1000/959_fortis.mp3,ffmpeg,44100,16,2,8652672
/root/sim/music//901~1000/916_心霊風景.mp3,ffmpeg,44100,16,2,4991616
/root/sim/music//901~1000/925_へこたれクッション.mp3,ffmpeg,44100,16,2,6102486
