filename,decoder,samplerate (kHz),samplewidth (bit),n channels,n samples
/root/sim/music//401~500/450_英雄の帰還.mp3,ffmpeg,44100,16,2,5958144
/root/sim/music//401~500/493_おとぼけダンス(Silly_dance).mp3,ffmpeg,44100,16,2,3503194
/root/sim/music//401~500/414_Running_Turning.mp3,ffmpeg,44100,16,2,6213832
/root/sim/music//401~500/471_あの夏は、遠く遥か.mp3,ffmpeg,44100,16,2,10045246
/root/sim/music//401~500/473_森へ.mp3,ffmpeg,44100,16,2,4809369
/root/sim/music//401~500/459_夏の穏やかな海辺で.mp3,ffmpeg,44100,16,2,6319775
/root/sim/music//401~500/477_小さな冒険者.mp3,ffmpeg,44100,16,2,4382208
/root/sim/music//401~500/448_銀色都市の秘密.mp3,ffmpeg,44100,16,2,4376925
/root/sim/music//401~500/413_Noct.mp3,ffmpeg,44100,16,2,6738048
/root/sim/music//401~500/445_Left_Behind_Bottles.mp3,ffmpeg,44100,16,2,7705152
/root/sim/music//401~500/483_Air_Travel.mp3,ffmpeg,44100,16,2,7408800
/root/sim/music//401~500/486_Dark_Stagnation.mp3,ffmpeg,44100,16,2,5111424
/root/sim/music//401~500/423_夕日の深呼吸.mp3,ffmpeg,44100,16,2,7623936
/root/sim/music//401~500/476_August_Squall.mp3,ffmpeg,44100,16,2,5159700
/root/sim/music//401~500/460_healing_wind.mp3,ffmpeg,44100,16,2,5181750
/root/sim/music//401~500/441_ほっこりキャンプ.mp3,ffmpeg,44100,16,2,1413504
/root/sim/music//401~500/499_Shibuya_Nightscape.mp3,ffmpeg,44100,16,2,6200064
/root/sim/music//401~500/469_星の夢.mp3,ffmpeg,44100,16,2,4552704
/root/sim/music//401~500/439_カジノ.mp3,ffmpeg,44100,16,2,3237455
/root/sim/music//401~500/415_Cyber_Dust.mp3,ffmpeg,44100,16,2,4705920
/root/sim/music//401~500/436_Improvised-01.mp3,ffmpeg,44100,16,2,3993344
/root/sim/music//401~500/470_Aquarium_Girl.mp3,ffmpeg,44100,16,2,7761600
/root/sim/music//401~500/464_Yurameki.mp3,ffmpeg,44100,16,2,3360384
/root/sim/music//401~500/430_日記帳.mp3,ffmpeg,44100,16,2,3346412
/root/sim/music//401~500/440_深海、たゆたう魂.mp3,ffmpeg,44100,16,2,9434927
