,id,scaled_skl,scaled_rp,scaled_rh,bpm,scaled_bh,scaled_mfcc,key,scale,scaled_levenshtein,scaled_corr,scaled_js,aggregated
0,/root/sim/music/out/09_I_Don't_Want_To_Miss_A_Thingmp3,0.0,0.0,0.0, 122.01480102539062,0.0,0.0, D, major,0.0,0.0,0.0,0.0
1,/root/sim/music/out/Aerosmith/Music_From_Another_Dimension!/13_Closermp3,0.00033360661001329846,0.1592130732280402,0.09987573564214416, 122.93218994140625,0.4364761189223999,0.10293116525149379, D, major,0.1431058495821727,0.9213171184766512,0.08339986845696239,0.08570557098429002
2,/root/sim/music/out/Aerosmith/O_Yeah!_Ultimate_Aerosmith_Hits_[Disc_2]/13_Girls_Of_Summermp3,0.00021416322973775016,0.16568085928572288,0.1370976729437993, 120.04279327392578,0.4678271439304497,0.048938552025051, G, major,0.14066852367688024,0.9604420092806717,0.05553427079800656,0.08963174156431661
3,/root/sim/music/out/Aerosmith/Music_From_Another_Dimension!/04_Tell_Memp3,0.00029646463738846826,0.17148565150622094,0.13570532363888888, 165.569580078125,0.6590161532682194,0.12251320996187526, G, major,0.14589136490250695,0.9221708752557496,0.07397352905303528,0.0953652422088834
4,/root/sim/music/out/Bon_Jovi/Bon_Jovi_Greatest_Hits_-_The_Ultimate_Collection/13_Alwaysmp3,0.00022718371172088204,0.1627040279832718,0.1725574670185671, 142.8814697265625,0.6817673070730922,0.06989129319724802, E, major,0.1998607242339833,0.9163682435845226,0.05839437905410951,0.09847076444191732
5,/root/sim/music/out/スピッツ/CYCLE_HIT_1997-2005_Spitz_Complete_Single_Collection/14_正夢mp3,0.00026609260308969797,0.1819174796210089,0.146200391849964, 93.09205627441406,0.6913525813029945,0.08005508074809922, G, major,0.13857938718662952,0.9325228627416359,0.06732308485021496,0.09892676223106939
6,/root/sim/music/out/Aimer/BEST_SELECTION__noir_/12_s-AVEmp3,0.0003146410223557408,0.18081246065541562,0.135941173645882, 150.04791259765625,0.728999356015885,0.014736040671294777, A, major,0.17548746518105848,0.9365656987622166,0.07958209102158562,0.09916259158630975
7,/root/sim/music/out/Aerosmith/O_Yeah!_Ultimate_Aerosmith_Hits_[Disc_2]/14_Lay_It_Downmp3,0.00017849131677236184,0.19159475629413109,0.15773665257911926, 139.95802307128906,0.8174177310293013,0.053291711652851285, C, major,0.141016713091922,0.9290636173763436,0.048344226448478855,0.09946353165962539
8,/root/sim/music/out/Aimer/BEST_SELECTION__noir_/06_LAST_STARDUSTmp3,0.0003688015106794356,0.16955696494372471,0.1408252363935901, 121.95925903320312,0.3128253193087904,0.021337593777275503, F, major,0.14867688022284123,0.9300892160093568,0.08722951096853583,0.09949512845413253
9,/root/sim/music/out/Various_Artists/TETSUYA_KOMURO_ARCHIVES__K__[Disc_1]/09-国境に近い愛の歌mp3,0.000436084807115403,0.1896887617833271,0.11147178001934568, 119.892333984375,0.4302627455189439,0.04496223052434552, C, major,0.1549442896935933,0.9241580181781457,0.0981957534169707,0.09994809500668972
10,/root/sim/music/out/Bryan_Adams/Anthology_[Bonus_Track]_[Disc_2]/2-02_All_For_Lovemp3,0.00023546249656098393,0.1752160569007895,0.16412002877506507, 149.60494995117188,0.7126922829236879,0.03925890726455408, G, major,0.17096100278551532,0.9299052555542847,0.061567401120818745,0.10028473732330857
11,/root/sim/music/out/エレファントカシマシ/THE_FIGHTING_MAN_[Disc_1]/1-13_新しい季節へキミとmp3,0.00033603981281763107,0.20560088953845043,0.12294358732278561, 119.96835327148438,0.33119727380057956,0.03843330566893195, A, major,0.1511142061281337,0.9345284697018752,0.07785001840732164,0.10168263377034382
12,/root/sim/music/out/Aimer/BEST_SELECTION__noir_/03_insane_dreammp3,0.0005440366328951394,0.18388716474404468,0.10482118760190609, 119.9081802368164,0.38397724589460125,0.05398394182403422, Eb, major,0.1451949860724234,0.9421286942554483,0.12091737251640797,0.10254244037381346
13,/root/sim/music/out/尾崎豊/MISSING_BOY_[Bonus_Disc]/2-02_シェリー_[Live]mp3,0.0005302343887220875,0.16444625379412106,0.12924146985879936, 99.24899291992188,0.4917362348395406,0.09475357030541835, D, major,0.24965181058495822,0.9203274800076585,0.11624194530907912,0.10261497583768041
14,/root/sim/music/out/尾崎豊/MISSING_BOY/05_Teenage_Blue_[Live]mp3,0.0006660374635648653,0.12794664623755508,0.13750780534973087, 122.62443542480469,0.13237740152409574,0.13776508214393224, C, major,0.15981894150417827,0.9200256132627905,0.1454003213500576,0.1028802026002271
15,/root/sim/music/out/Various_Artists/CHAOSHEAD_VOCAL_COLLECTION_[Disc_1]/04_罪過に契約の血をmp3,0.0004548629256836757,0.17850030222655264,0.13539892326050468, 88.0040512084961,0.7703151228936352,0.0677557948091829, Bb, minor,0.14832869080779945,0.9487129115024621,0.09739962019106858,0.10293842715095239
16,/root/sim/music/out/Aerosmith/O_Yeah!_Ultimate_Aerosmith_Hits_[Disc_2]/10_Jadedmp3,0.0002544454021251791,0.19882352174627804,0.15109034166569982, 118.00401306152344,0.5825690672963401,0.06202584771629946, A, major,0.14380222841225626,0.9558594260930743,0.06301669668045147,0.10329625137363863
17,/root/sim/music/out/Aimer/Penny_Rain/09_花の唄mp3,0.0002950794373783543,0.18508223769942944,0.15612289284940137, 161.90907287597656,0.659338574648492,0.025300466721154605, Ab, major,0.23119777158774374,0.9201892430725273,0.07400527389364459,0.10387637096996344
